Indice máximo,
2013/09,40903.61
2013/10,41077.61
2013/11,42575.62
2013/12,43076.86
2014/01,41008.63
2014/02,39109.48
2014/03,40461.6
2014/04,40798.43
2014/05,42026.56
2014/06,42795.15
2014/07,44349.8
2014/08,45762.37
2014/09,45051.91
2014/10,45159.49
2014/11,44725.65
2014/12,43191.7
2015/01,41864.22
2015/02,44439.99
2015/03,43916.1
2015/04,45129.47
2015/05,44845.13
2015/06,45054.08
2015/07,44793.18
